,review,rating
46942,"""This was my first time on any birth control and I did not have a good experience. This birth control made me nauseous, gave me headaches, caused me to gain weight, gave me HORRIBLE break outs, and even made me sick. I took this for less than a week, I will never recommend this to somebody. I was put on this by my doctor so I hadn&#039;t had a chance to look it up before I got on it. This is not a thing I will take again or give another chance. I suggest trying something different.""",1
91722,"""EXTREME fatigue and weight gain, loss of period, sore breasts, nasuea.  I started taking pill and couldn&#039;t get enough sleep after 8- 10 hours of sleep I would need a morning nap for after dropping children at school - sometimes for 2 hours.  Legs felt heavy.  Gave it a try for 2.5 months and couldn&#039;t stand it any longer.  I&#039;ve been off the pil for a week and feel completely normal again- thank goodness. I had an minena IUD with hormones  for 5 years and believe that was giving me fatigue as well as it was slightly infected-  but at that stage I had a series of life challenges that could have accounted fatigue too.  It seems additional hormones do no suit me. Previous Oral birth control gave me severe depression.  Still searching.""",1
104655,"""Ambien was very dangerous for me. I was prescribed 10mg for about 5 years. One night I took 1 right before bed like I always had and woke up the next morning with vomit all over my house and an empty pill bottle on my night stand. I took a heap 10mg of Ambien and had zero memory of doing this. It absolutely terrified me. I now take 100mg of doxepin and sleep through the night without a hangover in the morning. Use Ambien with caution. If you have any worries please try to find something else.""",1
115580,"""I&#039;m halfway into my second month. I&#039;ve been on my period for more than 2 weeks. My acne is horrible now. Worse than ever. I hate this pill. It does keep me from getting pregnant, but that&#039;s not what I wanted completely. I have endometriosis and acne prone skin. My gyno told me it&#039;d help, but it totally hasn&#039;t. Can&#039;t wait to get something different.""",1
22709,"""This medication did not work for me.""",1
13639,"""AWFUL. I had fairly clear skin before taking Sprintec and had gotten the implant taken out a couple months prior. But within less than a month I began to see my face break out on Sprintec. It eventually developed to the point where I got hormonal acne on my forehead and chin, places I had NEVER gotten acne. I stayed on the pill for 3 months and couldn&#039;t take the acne any more, and the worst part is that the acne WORSENED after I got off. It has been four months and my face is filled with acne scars and new blemishes. This has been an ongoing battle for me, and I regret taking the pill. Immensely. Please avoid this at all costs! Especially if you have sensitive skin or acne free skin to begin with! I&#039;d give anything to have my old face back.""",1
131754,"""I was put on this medication earlier this year for OCD. I didn&#039;t really notice a difference other then it made me tired about a half hour after taking it. It did not seem to improve my OCD symptoms.  However I do wonder if I was on a high enough dose. My doctor only had me on 50 MG and I have a high tolerance to med so I might give this another shot at a higher dosage. Also I was only on it for a few weeks I think.""",1
38083,"""I&#039;m a 36 year old female and I&#039;ve been living with narcolepsy for over 20 years and was just diagnosed about 2 months ago! I have been on Provigil for 1 week. 200mg twice a day with that I still feel like a walking zombie. I have not noticed a change with no side effects. I was taken off of Nuvigil 150mg 1x/day. I did notice a huge difference with that. I remember feeling..wow this is what it feels like to be awake. But it would die out by noontime and barley get me through the rest of my day. I also experienced a dull constant headache and random nausea. It now seems almost worth going back to it and dealing with the side effects.""",1
110815,"""No lessening of pain in legs.""",1
148643,"""I was put in this pill for more than one reason. I&#039;ve always had irregular periods. I&#039;m 28 and I&#039;ve been having irregular periods since I was 12. 

Recently I found out I had a 6cm cyst on my right ovary and I was put on this pill to hopefully help that too. 

I was on this pill for a little over a week before I had to stop it from extreme mood swings to the point I could hardly function. I was crying all the time and a complete mess. Everyone reacts differently but it was awful for me. I&#039;m now having to take anti-anxiety meds to help me get off the effects of this pill. Before this pill I have never had any problems with anxiety / mood swings. I posted this to tell everyone to be careful and listen to your body!""",1
55368,"""I&#039;ve gotten this implant about a month ago  omg I rather just take the pill I&#039;ve had irregular bleeding before and I HATE to have my period in the first place so when I had my irregular period be4 I was a Lil over weight and had it for 3 months so I lost the weight and everything went back to normal to go from getting ur period and it lasting 4 days to bleeding 4 a month was just ridiculous to me  the CRAMPS OMG I COULD DIE I cried every day after I got this implant and when I say cry I mean cry I cried at work on the train going to work  I cried when I woke up and when I went to sleep it really made me emotional oh let me not forget one night I went to sleep when I woke up in blood everywhere. I would NEVER do this again""",1
35373,"""It&#039;s nothing. This did absolutely nothing for me. I didn&#039;t even have any side-effects, it was like taking a sugar pill or a placebo.""",1
119911,"""Worst medication EVER.  I couldn&#039;t form simple thoughts together.  Couldn&#039;t complete tasks.   Migraines got worse.  That was at 100/mg.   200mg was twice as bad.   

Neuro told me I could quit taking it cold turkey.   He&#039;s a flipping moron.   I sunk into a deep depression with high anxiety after tapering dose down.   This medication needs to be banned.""",1
51979,"""My face currently looks like a pizza. Not only do I have the worst acne I have ever had in my ENTIRE life (I am 27 years old, mind you - I have been on birth control since I was 16) my last period was 10 days and I spot regularly. I absolutely HATE this birth control. Generic for Loestrin my butt, absolutely not. They need to remove this from the market today. Lomedia - the best birth control - had my period down to about 2 days, maybe. I am switching over to Blisovi as of today. This birth control is not worth it.""",1
132297,"""This birth control is terrible. Ever since starting this birth control, I&#039;ve been moody miserable and depressed and cry at every single thing. Not to mention, I have perfect skin before taking this &amp; it is now terrible filled with blemishes.""",1
130689,"""I&#039;ve been on Contrave for several months now and I can&#039;t say I lost much if any weight. I feel different. My head always feels full and I am a bit nauseated. I don&#039;t think I will be continuing this beyond 3 months. Thanks.""",1
16296,"""I was in the ER because my chest was fluttering and I figured maybe its dehydration I have been nauseous and not able to drink without the feeling of nausea. I&#039;m 6 weeks pregnant. So they gave me zofran and benadryl via IV the lady pushed my medicines within seconds and my heart began racing and a warm feeling in my chest and I began shaking for a few hours feeling like death. I was cold and when I started feeling warm again I had goosebumps all over. I went to sleep and woke up because I was sweating so much in a cold sweat.
Later after I left the ER I started having sharp chest pains. I didn&#039;t know that the medicine they gave me would possibly cause birth defects. I&#039;m beyond mad. The nausea is gone but never again. I wouldn&#039;t recommend.""",1
60784,"""On Depo for 19 months, began taking it after my second child. Had no period. Major mood swings, constant exhaustion and trouble sleeping.
No sex drive- after some research, I discovered why.. Depo is used as a CHEMICAL CASTRATION drug for sex offenders in multiple states. 
-My Dr did not mention that I was drugging myself like a convicted sex offender, did yours?""",1
93821,"""Took one dose as directed and had very negative reaction.  Seemed to make my condition much worse.  Caused stomach ache, nausea, headache, liver pain.  I&#039;d be very careful in decisionto take this med.  Do all other homeopathic cold/ flu remedies first, like taking zinc, chicken soup, going to bed, staying warm, eating oranges, taking 1/2 pain pill.""",1
38618,"""It lifted my mood but with horrible agitation and impotance""",1
40768,"""Was only able to manage a week on on this drug.. 40mg. The side effects where pretty intense and intolerable. Cold sweats, nausea, headaches, and sexual dysfunction where very strong. Maybe some other less noticeable side effects as well, didn&#039;t stay on long enough to pinpoint.
I did not notice any benefits during my brief use.

I am also taking buproprion and did not adjust my dose after starting fetzima.. which I now realize I should have considered. Fetzima has a 1:2 seretonin:norepinephrine reuptake inhibition ratio, most SNRI have between 20:1 to 5:1, so Fetzima is fairly unique and probably could have replaced my ssri and buproprion.

Found something new and wont be trying again, the side effect were just too bad.""",1
114789,"""I suffer with several disc herniations and bulges from a automobile accident. I also have bone spurs on one of my vertebrae. Due to the workers comp case and doctors over prescirbing oxycodone which is the only pain meds out of almost 40 tried that helps my pain. They prescribed cymbalta to replace my oxycodone. They have cut my dosage in half and gave me cymbalta which I took for the first time They think oxycodone is such a bad drug? Taking cymbalta I was so high and hyper my heart beating out of my chest skin crawling and did nothing for pain and I really thought I was going to die.  If I drove I probably would have killed some one. I never felt anything except pain relief from oxycodone???""",1
119757,"""I was 120mg. Was great for my mood, but I had several side effects including: increase blood pressure, tachycardia, urinary hesitation, constipation, bloating, stomach pain, dry mouth, nausea, and UTI. My Dr. told me to choose whether I wanted to feel good mentally or physically. Looking for new Dr. I think I deserve both.  one without the  other is simply existing,and I want to live life happy and healthy.""",1
119282,"""This drug did clear up my acne. However, a couple weeks after finishing the 6 month treatment, I fell on an icy sidewalk and broke my leg in 6 places including a tibia spiral fracture. What the dermatologist didn&#039;t inform me was this drug can affect your bone density. A year after finishing this drug I&#039;m still recovering from surgery for my leg and will most likely need another surgery. This also cost me my job. As a nurse, I highly discourage anyone to use this medication. The side effects are not worth it since there are so many other options out there for acne.""",1
48804,"""Make sure you know the cost. My doctor ordered this for me through my health plan mail order. Plan paid $770 for 8ml. My cost was $257. Tried to return, but they would not take it back, but gave me $100 back. I was shocked at the price.""",1
65445,"""I bought the one-dose ovule because I&#039;m a &quot;let&#039;s hurry up and get this over with&quot; kind of person. It&#039;s been a little over 24 hours since I inserted the ovule and I&#039;m still on fire.  I hurt so bad I almost can&#039;t walk. I&#039;m swollen so bad that I can&#039;t stand even for the cotton cloth of my clothing to touch me. I had to sleep with an ice pack between my legs last night! I have a pretty high pain tolerance - given birth 3 times and have passed numerous kidney stones - but this is ridiculous!! I called the doctor today and they phoned out some diflucan.  Don&#039;t waste your money on this product.  It&#039;s not worth the pain!!""",1
72491,"""I started taking this on the Sunday when my period started as directed. A few hours after taking the pill my whole body started tingling and I was experiencing insomnia. That night I laid still and try to ignore the tingling but it would build up and one small movement of my foot could make my entire body spasm. I had never felt this before in my life until I started taking Estarylla. I only took the pill twice and decided that I was done with not being able to sleep and constantly feeling tingly. Even after I stopped taking the pill my body was so affected by the pill that it is taking me a few days to finally flush it out of my system. Don&#039;t take Estarylla if you have the option of another birth control!!""",1
42374,"""PLEASE BE AWARE!! I have been on an injection contraceptive for 8 years now but my local doctor ran short of the shot so he recommended Yaz. I have been on it for three weeks now and 2 days ago I started having serious abdominal, tightening of my chest and serious problem to breathe. My husband researched it and found that these were indeed some of the side effects. I decided to not take any more of the pills. I urge females to be very careful when using yaz since 100 women are dead who used Yaz and are suspected that it was because of this drug. The blood clots allegations are numerous also.""",1
120833,"""This medication completely ruined my life. I gained 15kg over six months on this injection whereas before I was fit. I grew manboobs on this medication. I have no libido and complete sexual dysfunction. This medication gives you terrible anhedonia. I was forced to take Invega Sustenna after some stupid psychiatrist diagnosed me with &quot;psychosis&quot;. I had no symptoms of psychosis.""",1
102575,"""My problem is not with the medicine, but rather the inhaler itself.  The Spiriva Respimat.  Hate it with a passion!  I&#039;ve had to make three separate trips to the pharmacy to get a replacement.  After the first time I was so careful to use it both, properly and carefully.  Did it help?  NO!  And it is a waste of time, money and I&#039;m unable to use the thing until I go to the pharmacist and get a replacement!  Apparently, Kaiser insurance doesn&#039;t want to pay for any other Spiriva inhaler.  I am currently trying to find where I can leave a formal complaint.""",1
139124,"""I had Skyla inserted 8 weeks after having my 2nd child through c-section. The insertion was very painful but quick about 5 min, I had some moderate cramping few days after but nothing serious. I was breastfeeding at the time, not sure if it&#039;s Skyla&#039;s fault but I lost my milk supply almost completely after getting it inserted. I only had one period after the insertion it was much heavier then my normal period, lasted for about 5 days with very heavy bleeding on day 2 and 3. And 3 months later I fond out I was pregnant, so much for 99.8% protection.""",1
143179,"""Inserted in 06. Removed in 16. Opted for this as the hormones triggered headaches. Shortly after insertion hair breakage. Severe PMS. Migraines. Kept being told it&#039;s because I&#039;m stressed. I&#039;m getting older etc. nobody ever suspected the IUD. Migraines became progressively worse over the year yet nobody ever suggested the Paraguard was to blame. 15 days a month of migraine. Tried every single drug, remedy, alternative health paths. Nothing worked. Had hair test done a month after IUD removal to confirm hidden cooper toxicity. Severe PMS went away quickly after removal. The migraine copper detox is a long dedicated life alerting progress. 9 months post removal in seeing progress. Never ever would I recommend this to anyone.""",1
21472,"""I used  it for 8 years and I still kept losing hair. If it is good why are there so many movie stars that are bald? For those that it does not grow hair for will be told you are one of those 20% that does not work.""",1
41444,"""Worst mistake of my life. I found out after a year of terrifyingly heavy periods that lasted all but 5 days a month and cramps that made me an invalid regularly that this iud contains copper plated nickel. DO NOT USE THIS IUD if you have ANY sort of sensitivity to nickel! You will wish you could die and you will feel sick 100% of the time.

I toughed it out for a long time with paragard to see if it would get better. It didn&#039;t. Don&#039;t wait if a bc disagrees with you...you might lose a year of being functional and happy because of a bc that ruins your physical and/or mental health like this one did for me.""",1
87942,"""Very bad experience. Heart pounding immediately after ingestion, extreme sensitivity to light, swelling of face, gum, etc.""",1
37471,"""Took Fetzima 40mg for first time last night, kept waking up all night, horrible gas, woke in the morning(5am) and had to throw up, also had excessive sweating, headache, overall sour stomach. Will not continue taking medication, have never had such a bad reaction to antidepressant before today.""",1
138318,"""Bought an over the counter lidocaine creme recommended for waxing pain numbing by the pharmacy and I felt no different even after an hour. Seriously useless. Don&#039;t waste your money.""",1
124765,"""Did absolutely nothing for my back-muscle pain.  """,1
135899,"""My face and chest turned red like a sun burn, my face is puffy and red. Upset stomach. bloating""",1
80495,"""This was the second BC I have ever taken. It was absolutely terrible. I have always had light periods (panty liner light) and no cramps. When I took this birth control I had such horrible cramps that I kept throwing up. I continued to take it, but after bleeding like a water fall for a week and a half I called my doctor. She told me that I had to finish taking it for a month or else I had the possibility of bleeding to death. So I bled the entire month. I didn&#039;t receive another period until 3 months later. Don&#039;t take this birth control""",1
109408,"""It is  is totally ineffective for over-active bladder , spasms , and other related systems .
I&#039;m dropping it as a medication .""",1
70127,"""Zip
Nada
Always used viagara but is really getting expensive. Tried this and nothing at all.
Back to vitamin V as all my friends call it .""",1
49331,"""I am a 36yr. old mother of 4 and I started taking Contrave yesterday and initially I felt nothing.  Until I started moving around, I became very jittery, then extremely clammy and hot - my mouth started to water and I threw up all over the place.  To say it made me nauseous is an understatement!  I thought maybe it was because I ate a light breakfast before taking it.  So I took it again this morning after a decent breakfast, and as I&#039;m typing...I&#039;m going through the exact same symptoms as yesterday.  I&#039;m going to discontinue using this as much as I was hoping I could continue to help with my weight loss, the symptoms are too harsh for me to continue.""",1
133795,"""I have Hereditary Depression, Bipolar Type 2, PTSD, High Anxiety, Insomnia, I also had some bad Paranoia issues at the time prescribed because of an insane stalker. I have taken over 50 medication combinations. This by far is the worst drug I have ever taken. I knick named it, &quot;Effects Her!!!&quot;.
  The medication was hell on Earth for me. I had several bad side effects on this med. The worst being that when I fell asleep my brain created extremely realistic vivid dreams. Also, after sleeping for a few hours, it seemed like very high impact stressful weeks had just gone by in real time. So I had to try to decipher reality upon waking. Needless to say, I lost my job! My Anxiety and Paranoia were worse! Plus it is absolute Hell to come off of!!!""",1
68887,"""I wouldn&#039;t give Prozac anything greater than a 1. Mainly for the fact that I have been on this now for 1 month 20 mg daily; Increased my terrible moods followed by anxiety attacks, I have become an insomniac, my pulse has increased terribly, and my appetite is zero. Without the back up &quot;Xanax&quot; I would still be at square 1. I occasionally drink to get drunk, but have been recently informed that this drug mixed with alcohol has a severe risk of suicide.  I was not depressed before I was referred to this medicine, but now I feel that it is becoming worse. Am I miss diagnosed?""",1
62216,"""I have recently got the IUD inserted on October 31, 2016, it&#039;s now December 1 and I&#039;m STILL bleeding. Heavily might I add. It&#039;s pretty annoying because my partner wants sex more than ever now that we&#039;ve had our first child &amp; I just don&#039;t feel comfortable having sex while still bleeding. Anyway, I am noticing that my skin is getting worse and very oily. I have painful cramps now and I didn&#039;t before insertion. I&#039;m bloated all the time. It&#039;s been about 5 weeks, when will it end? I don&#039;t know if it&#039;s worth it""",1
100210,"""Horrible.Went into ER for 2 week long headache. Never saw a Doctor the entire time I was there but 3 nurses and a PA. One of the 3 different nurses came into finally administer the &quot;cocktail&quot; from hell. Now I told them I suffer from anxiety, yet I was told it would only cause a warm sensation of being flushed. Well....that&#039;s bulls**t. After the first medication benedryl was administered I felt it cold going into my arm. Then the second Raglan which was shoved in my iv rather fast. The nurse asked me ...how are you feeling? I&#039;m um um ok....and BAM it hit me! I felt a burning sensation across my chest...my eyes bugged out...my heart was beating out of my chest...I turned pale...I wanted to rip out my iv and run. And after she did...I ran out.""",1
123907,"""Unfortunately, the 3 injections in my knee have done nothing to alleviate the pain, in fact, it is 3 weeks after all shots &amp; my knee is slightly worse than before. I am hoping that by 6 months, when it wears off for those who experienced excellent results, for me, it will be back to &quot;normal&quot;. Perhaps another brand will work better for me. The 1st shot did not hurt at all, but after 2 days, it became very painful, so much so I could not sleep. It did finally settle down, but I did consider not finishing the shots at all. 2nd was somewhat painful and left a small bruise. The third was just a little painful. Before the shots, I wore a knee brace during the day &amp; do that now, too  My doctor says I am not a candidate for replacement surgery.""",1
99392,"""I am on day three of using this, and so far, my itching has not improved.""",1
31947,"""The first time I took this I got a severe panic attack. It felt like I couldn&#039;t breathe, my heart was racing and chest hurt. It did nothing for the pain or any of the other things associated with migraines. I did try it once more, as per my Dr, and it happened all over again. Maxalt is what I use now.""",1
118617,"""I am extremely disappointed that it did not help with my cough. Unfortunately I am allergic to codeine and my doctor prescribed benzonatate as a good alternative. I was hoping to finally get some sleep at night but it has not happened. """,1
58181,"""My husband started Harvoni on June 14, 2016. July 08, 2016 he died of an Aortic dissection and cardiac arrest. He saw his doctor regularly and had no signs of heart problems or high blood pressure. The doctor said that sometimes the Harvoni can increase your blood pressure. So please everyone, discuss this with your doctor.""",1
88364,"""Who in there right mind would even want to take or prescribe this medication?! It interacts with dang near everything! The reviews say it&#039;s a great sleep aid, but can&#039;t take it during the day. I just spent 13 days by my sister&#039;s hospital bed after she was found clinically dead. By the grace of God, she was in a bathtub, and hypothermia saved her. When they found her, she had a temp of 90""",1
150039,"""Didn&#039;t make my bladder infection go away, it hid all of the symptoms however when the prescription was done my infection was still there. I ended up on different antibiotics for 2 weeks.""",1
158622,"""Every time I use Flonase it enhances my symptoms to a greater and almost debilitating level. My eyes become red, inflamed, and watery. My nose runs more. My throat becomes red and sore. I am not sure if I am allergic to an ingredient in the spray or not, but it does not provide any relief. Only makes the ones I have multiply.""",1
106419,"""My vagina is on fire! I hate this !! Don&rsquo;t use !!!! Extremely painful !""",1
155380,"""I just got out of the hospital and I&#039;m in excruciating pain. The surgeon took out my hip implants and broke my femur . I have antibiotic spacers and balls put in. I was on a baseline of fentanyl plus 100 mcg every 6 minutes via PCA on top of a 250 mcg patch and 45 mg oxycodone every 3 hours  and 40 mgs of Oxycontin every 8 hours. Also, Ketamine spray every 2 hours. I was released with in adequate medication and my PM doc put me on 30 mg of Opana every 3 hours.""",1
47544,"""I had been on a different form of bc for several years, but apparently it was not as effective as I got older. My GYN prescribed Gildess to me and suggested I try it for a few months to see if the condition improved. I was on Gildess for a total of 5 months. I kept in mind that you must allow time (3 mos) for your body to adjust so although I experienced side effects from the start, I gave it a shot. I experienced uncontrollable mood swings and felt depressed and tired ALL THE TIME! The worst side effects though were the extreme headaches I experienced while taking this medication. I know everyone is different, but as for me... I would NEVER recommend this pill to anyone.""",1
36764,"""I was prescribed 2-3 weeks ago...was so happy to finally have something I thought would help prescribed to me. I tried it for two days...felt my depression/scary scenarios get worse, so I stopped. Depression was still there but not as bad as it is when I am on the pill. I took it again to see if it will finally work this time...it&#039;s my 3rd day, still feeling worse but I&#039;m trying to wait for it to work because I&#039;ve read it works after 2-3 weeks. So I hope it helps... :/""",1
38638,"""Just get the pill form to save yourself from extra itching and burning... It&#039;s gone in 24 hours. If you don&#039;t have a Gyno then go to an urgent care they&#039;ll send it into the pharmacy for you. But if you do dare to try monitstat prepare your insides to itch even worse in approximately 10-15 after taking it but keep it in there... The itchiness simmered down in about an hour it&#039;s not too horrible anymore but defiantly don&#039;t think it&#039;s worth taking, especially when the pill form is cheaper and works faster""",1
151034,"""After about a week on this birth control I started to get awful acne and had to stop taking it after two weeks. According to my doctor, a side effect for some people is worsening complexion. It also made it very difficult to sleep and wake up in the morning. All of these side effects stopped a few days after I was taken off the pills.""",1
129224,"""I got the nexplanon at my 6 week check-up after having my son in Jan 2015, and I have to say I absolutely HATE THE NEXPLANON!! I&#039;m on my 3rd one due to pain in my arm all the time and now thinking about getting it removed since the new one I got a week ago is killing me!! I have put on about 40lbs since Feb 2015 since I got my 1st implant and can&#039;t seem to lose it, I have mood swings, feel tired all the time and shed hair all the time! I really miss the implanon it was so much better than the nexplanon !""",1
156427,"""The WORST taste ever!  It is 3:30 and I am on my second batch of this stuff.  Not sure I will be able to get the entire second batch down.  I&#039;m really feeling like I am going to vomit.  Moviprep does work and works very fast but it is like drinking really bad ocean salt water with a strong taste of lemon.  I am 52 and in excellent shape. Hope I don&#039;t have to do this again real soon.  If so, I&#039;ll do Moviprep over a 2 day period. Good luck : )""",1
40387,"""I ran out of acyclovir so thought I&#039;d try Abreva since I couldn&#039;t get in to see my doctor. Have had cold sores for 20 years and since using Abreva, I have had my worst episode yet. Seems to heal the area, but then the cold sore keeps popping up in new parts of my lips, despite using q-tips and being very careful not to spread it. Have had this for 10 days now and am frustrated. Not sure why this is happening but I&#039;m going back to my doctor to get a prescription for acyclovir cream.""",1
20725,"""This product should be taken off the shelves before somebody has a heart attack from its side effects. I took one tablet and within about five hours had a BM normally.  A few minutes later I needed to go again. Then all of a sudden, I started sweating, and vomiting, and felt I was about to pass out on the bathroom floor.  I made it back to bed and was screaming in pain which went on for the next 20 minutes.

It finally calmed down enough for me to spend the next day in bed with a hot water bottle on my tummy. Today is Day 3 post Dulcolax Drama and I am left dizzy, nauseous and weak. If no better by Monday morning, I&#039;m off to the doctor.  I feel terrible and will NEVER take this tablet again. If you suffer from IBS do not take!!""",1
82550,"""If you read the other reviews, they are all correct in saying you must NEVER stop taking this medication suddenly.  Coming off this medicine was one of the most difficult things. You must do it very slowly and possibly add some other medications to ease the side effects.  It&#039;s so important to have a good doctor to guide you. """,1
59226,"""Not only did I gain ten pounds in just a few months after maintaining a steady weight for years, after a few months the lining of my vaginal walls began to thin making sex really uncomfortable. I also have to get up to pee three times a night on average, which has never happened before and is really inconvenient. In order to combat the heavy periods I was getting after the first month, my doctor put me on Junel Fe as well, and that seems to be helping, but I had to go on a SECOND form of birth control that required taking a pill daily just because this worked so poorly and had so many side effects. Also noticed significant anxiety/hormonal fluctuations at random with zero cause since I&#039;ve been on this.""",1
44135,"""I&#039;ve had Mirena for 4 years now. I have managed to have one if not two periods every month. I spot for several days every time I have sex. My PMS has gotten worse. Thank goodness my fiance loves me because I flip out on him once a month. I accuse him of neglect, cheating, lying, etc. And I know better. I do not recommend this product.""",1
69295,"""This medicine has done nothing for my anxiety and depression, but it has made me impotent, fat, lethargic, and I am suffering from angioedema regularly. (Look that one up, and enjoy)""",1
128168,"""I had a really bad outbreak and was recommended by a clinician to put abreva on it and take acyclovir anti-viral pills. I used TWO WHOLE PUMP BOTTLES OF ABREVA AND NOTHING CHANGED! The acyclovir didn&#039;t help either. Tried alcohol and saw a huge difference instead. Don&#039;t use Abreva. Use 70+% alcohol.""",1
50800,"""This med is terrible for me. Extreme &quot;head-rushes&quot; when suddenly standing up from kneeling position almost passing out. Shortness of breath, Heart rate at 98-120 beats per minute when calm. Very little, if any change in blood pressure. Sore throat with a slight cough and also a sore back like others are noticing while on this drug. I quit smoking almost a month ago to get healthy and lower blood pressure naturally. I am not comfortable with any of these meds side effects.""",1
